"day","paramecium","didinium","source","citation"
0,1264.5,2.1,"gauseR::gause_1934_book_f30","Gause (1934) The Struggle for Existence, Fig. 30 (Osterhout)"
1,1226.4,5.7,"gauseR::gause_1934_book_f30","Gause (1934) The Struggle for Existence, Fig. 30 (Osterhout)"
2,502.4,244.5,"gauseR::gause_1934_book_f30","Gause (1934) The Struggle for Existence, Fig. 30 (Osterhout)"
3,96.7,210.4,"gauseR::gause_1934_book_f30","Gause (1934) The Struggle for Existence, Fig. 30 (Osterhout)"
4,5.7,119.4,"gauseR::gause_1934_book_f30","Gause (1934) The Struggle for Existence, Fig. 30 (Osterhout)"
5,0,43.6,"gauseR::gause_1934_book_f30","Gause (1934) The Struggle for Existence, Fig. 30 (Osterhout)"
6,0,1.9,"gauseR::gause_1934_book_f30","Gause (1934) The Struggle for Existence, Fig. 30 (Osterhout)"
7,0,0,"gauseR::gause_1934_book_f30","Gause (1934) The Struggle for Existence, Fig. 30 (Osterhout)"
